"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"소아청소년과","정혜리","정혜리 교수 소아청소년과 (1).jpg","교수","소아천식, 알레르기, 면역학","1977.3 ~ 1983.2경북대학교 의과대학 학사
1984.3 ~ 1991.8경북대학교 대학원 의학과 박사","1984.3 ~ 1987.2경북대학교병원 소아과 전공의
1987.3 ~ 1991.9대구가톨릭대학교병원 소아과 과장
1991.11 ~대구가톨릭대학교 소아청소년과 교수","대한소아청소년과학회 대구경북 지회장
대한소아알레르기호흡기학회 대구경북 지회장
대한천식알레르기학회 대구경북 지회장
2018 ~ 2019대한소아알레르기호흡기학회 회장","2016.7제26회 과학기술 우수논문상","1993 ~ 1994Albany medical college, New York 미국","","","","","","","","","","","","","","","",""
"소아청소년과","김진경","김진경 교수 소아청소년과 (1).jpg","교수","소아내분비학, 성장발달학","1983 03~1989 02경북대학교 의과대학 의학과	의학사
1990 03~1992 02경북대학교 대학원 의학과 	의학석사
2001 03~2003 08대구가톨릭대학교 대학원 의학과	의학박사","2002 03 01~2002 08 31대구가톨릭대학교병원 소아청소년과	임상 전담 전임 강사
2002 09 01~2004 09 30대구가톨릭대학교병원 소아청소년과	전임강사
2004 10 01~2008 08 31대구가톨릭대학교병원 소아청소년과	조교수
2008 09 01~2014 08 31대구가톨릭대학교병원 소아청소년과	부교수
2014 09 01~대구가톨릭대학교병원 소아청소년과	교수","대한소아과학회	회원
대한소아내분비학회	회원
대한소아신경학회	회원","2009 04 24A case of glycogen storage disease type Ib. 	대한소아과학회 우수포스터상
2011 05 20발달지연아에서 KASQ 발달선별검사와 베일리영유아발달검사의 비교 대한소아신경학회지 	대한소아신경학회 우수 논문상","2001 06~2001 08Kennedy Krieger Institute, Johnshopkins University Hospital  USA
2004 09 ~2005 08Kennedy Krieger Institute, Johnshopkins University Hospital  	USA","","","","","","","","","","","","","","","",""
"소아청소년과","최은진","최은진 교수 소아청소년과 (2).jpg","교수","소아혈액종양학, 소아감염학","경북대학교 의과대학 졸업
경북대학병원 소아과 전공의 과정 수료
경북대학교 대학원 소아과학 박사","미국 UCLA 소아 혈액종양학 연수
대구가톨릭대학교 의과대학 교수
현 대구가톨릭대학교병원 교육수련실장
현 대구가톨릭대학교병원 기획조정실장","대한소아과학회 회원
대한소아혈액종양학회 회원
대한혈액학회 회원
대한 조혈모세포이식학회 회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","이계향","이계향 교수 소아청소년과 (1).jpg","교수","소아신경학","1993.03~1999.02대구가톨릭대학교 의과대학	의학사
2003.03~2005.08성균관대학교 대학원	의학석사","1999.03~2000.02삼성서울병원	인턴
2000.03~2004.02삼성서울병원	소아청소년과 전공의
2004.03~2006.02삼성서울병원	소아신경학 전임의
2006.03~2006.08서울성애병원	소아과장
2006.09~2007.02대구가톨릭대학교병원 소아청소년과	임상의
2007.03~2009.02대구가톨릭대학교병원 소아청소년과	전임강사
2009.03~2013.02대구가톨릭대학교병원 소아청소년과	조교수
2013.03~2019.02대구가톨릭대학교병원 소아청소년과	부교수
2019.03~현재대구가톨릭대학교병원 소아청소년과	교수","2000.03~대한소아청소년과학회	정회원
2004.03~대한소아신경학회	정회원
2006.09~대하뇌전증학회	정회원","","2014.09~2015.08Northwestern University, Feinberg School of Medicine	미국","","","","","","","","","","","","","","","",""
"소아청소년과","홍석진","홍석진 교수 소아청소년과 (1).jpg","교수","소아소화기영양, 소아신장","1995.3.2 ~ 2002.2.25경북대학교 의과대학	학사
2009.3.2 ~ 2011.2.25경북대학교 대학원 의학과	석사","2002.3.1 ~ 2003.2.28경북대학교병원	인턴
2006.9.1 ~ 2010.8.31경북대학교병원 소아청소년과	전공의
2012.3.2 ~ 2013.5.1경북대학교병원 소아청소년과	전임의
2013.5.2 ~대구가톨릭대학교병원 소아청소년과	교수","2015.10 ~ 2019.10대한소아과학회	영양위원회
2015.10 ~ 2019.10대한소아소화기영양학회 	학술위원회
2016.6 ~ 2018.5대한소아과학회 대구경북지회	총무
2018.6 ~대한소아과학회 대구경북지회	법제이사
2018.1 ~CCAID	교육이사","2015.10.소아소화기영양학회 학술상","","","","","","","","","","","","","","","","",""
"소아청소년과","정지은","정지은 교수 소아청소년과 (1).jpg","교수","신생아, 미숙아","2000.3~2006.2대구가톨릭대학교 	의학사
2014.3~2016.2계명대학교	의학석사","2007.3~2011.2대구가톨릭대학교병원 소아청소년과	전공의
2011.3~2013.2대구가톨릭대학교병원 소아청소년과	신생아학 전임의
2013.3~2015.5대구가톨릭대학교병원 소아청소년과	임상강사
2015.5~2016.8대구가톨릭대학교병원 소아청소년과	임상전담교수
2016.9~현재대구가톨릭대학교병원 소아청소년과	조교수","","","","","","","","","","","","","","","","","","",""
"소아청소년과","장윤영","장윤영 교수 소아청소년과  (1).jpg","교수","소아알레르기호흡기학","2000. 03 ~ 2007. 02대구가톨릭대학교 의학과	학사","2014. 03 ~ 2016. 02대구가톨릭대학교병원 소아청소년과	전임의
2016. 03 ~ 2019. 08대구가톨릭대학교병원 소아청소년과	임상전담조교수
2019. 09 ~ 현재대구가톨릭대학교병원 소아청소년과	조교수","","","","","","","","","","","","","","","","","","",""
"소아청소년과","김영환","김영환 교수 소아청소년과 (2).jpg","교수","소아호흡기, 알레르기","2008. 3. ~ 2014. 2.대구가톨릭대학교 의과대학 학사","2021. 4. ~ 현재대구가톨릭대학교병원 소아청소년과 임상조교수
2019. 3. ~ 2021. 3.대구가톨릭대학교병원 소아청소년과 전임의
2015. 3. ~ 2019. 2.대구가톨릭대학교병원 소아청소년과 전공의","2019. 3. ~ 현재대한소아알레르기호흡기학회 정회원
2015. 3. ~ 현재대한소아과학회 정회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","김영현","웹 김영현.jpg","교수","소아청소년과 신생아학","2006. 3. ~ 2012. 2.영남대학교 의과대학 학사
2014. 3. ~ 2016. 10.영남대학교 대학원 의학과 석사","2012. 3. ~ 2013. 2.영남대학교병원 인턴
2013. 3. ~ 2017. 4.영남대학교병원 소아청소년과 전공의
2017. 5. ~ 2019. 2.영남대학교병원 소아청소년과 전임의
2019. 3. ~ 2019. 6.영남대학교병원 소아청소년과 임상강사
현재대구가톨릭대학교병원 소아청소년과 임상교수요원","소아청소년과학회 정회원
소아청소년과 신생아학회 정회원
소아청소년과 소아심장학회 정회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","김은아","증명-김은아 교수.jpg","교수","소아청소년과 신생아학","2009. 3. ~ 2015. 2.서남대학교 의과대학 학사
2021. 3. ~ 2023. 2.경북대학교 대학원 의학과 석사","2015. 3. ~ 2016. 2.경북대학교병원 인턴
2016. 3. ~ 2020. 2.영남대학교병원 소아청소년과 전공의
2020. 3. ~ 2022. 2.경북대학교병원 소아청소년과 신생아 임상강사
2022. 3. ~ 2022. 12.경북대학교병원 소아청소년과 신생아 진료교수
2023. 1. ~ 현재대구가톨릭대학교병원 소아청소년과 임상교수요원","2016. 3. ~ 현재대한소아과학회 정회원
2020. 3. ~ 현재대한신생아학회 정회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","이나원","이나원 전임의 소아청소년과.jpg","교수","소아내분비, 성장발달","2010. 3. ~ 2016. 2.대구가톨릭대학교 의과대학 학사","2021. 3. ~ 현재대구가톨릭대학교병원 소아청소년과 임상강사
2017. 3. ~ 2021. 2.대구가톨릭대학교병원 소아청소년과 전공의","대한소아내분비학회정회원
대한소아청소년과학회정회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","이동원","소아이동원교수증명.jpg","교수","소아 심장, 부정맥, 실신","1995년 3월~2001년 2월경북대학교 의과대학 학사
2002년 3월~2004년 2월경북대학교 의과대학 석사","2001년 3월~2002년 2월경북대학교병원 인턴
2002년 3월~2006년 2월경북대학교병원 전공의
2009년 5월~2011년 2월경북대학교병원 전임의
2011년 3월~2012년 4월인제대학교 부산백병원 전임강사
2012년 4월~2023년 10월대구파티마병원 과장","2002년 3월~대한소아과학회 정회원
2009년 5월~대한소아심장학회 정회원
2011년 3월~대한심장학회 정회원
2015년 3월~대한가와사끼병학회 정회원","","","","","","","","","","","","","","","","","",""
"소아청소년과","김유민","김유민_2.jpg","전임의","","2008년 3월~2014년 2월대구가톨릭대학교 학사","2015년 3월~2016년 2월대구가톨릭대학교병원 인턴
2016년 3월~2020년 2월대구가톨릭대학교병원 전공의","","","","","","","","","","","","","","","","","","",""
"소아청소년과","현종효","","전담의","","","","","","","","","","","","","","","","","","","","","",""
"소화기내과","이창형","이창형 교수 소화기내과 (1).jpg","교수","간질환(간염, 간경변, 간암)","1982. 03 ~ 1988. 02경북대학교 의과대학 학사
1992. 03 ~ 1994. 02경북대학교 대학원 의학과 석사
1997. 03 ~ 2000. 08경북대학교 대학원 의학과 박사","1988. 03 ~ 1989. 02경북대학교 병원 인턴
1989, 02 ~ 1992. 04대한민국 육군 군의관
1992. 05 ~ 1996. 02경북대학교 병원 내과 전공의
1996. 03 ~ 1997. 02경북대학교 병원 소화기내과 전임의
1998. 03 ~ 현재대한내과학회 소화기내과 분과전문의
1999. 03 ~ 현재대한소화기내시경학회 내시경 세부전문의
2009. 03 ~ 현재대한중환자의학회 중환자의학 세부전문의
1997. 03 ~ 현재대구가톨릭대학교 소화기내과 교수
2005. 03 ~ 2011. 2대구가톨릭대학교병원 적정진료관리실장
2015. 02 ~ 2017. 1대구가톨릭대학교병원 적정진료관리실장
2019. 02 ~ 2020. 12대구가톨릭대학교병원 기획처장
2021. 01 ~ 현재대구가톨릭대학교병원 병원장","대한내과학회 정회원
대한소화기학회 정회원
대한소화기내시경학회 정회원
대한간학회 정회원
대한간암연구회 정회원
미국간학회 정회원
대한간학회 간병변증진료가이드라인 제정위원회 책임위원
대한간학회 알코올간질환 제정위원회 위원
대한간학회 간병변증진료가이드라인 제정위원회 자문위원
대한간학회 평의원
대한소화기학회 평의원
대한간학회 대구경북지회 회장(전)
대구경북소화기학회 이사장","","2003. 02 ~ 2004. 08예일대학교(Yale University) 의과대학 미국","","","","","","","","","","","","","","","",""
"소화기내과","김은영","김은영 교수 소화기내과 (1).jpg","교수","염증성 장질환, 초음파내시경, 치료내시경, 위장관질환","경북대학교의과대학 학사
경북대학교 대학원 의학석사
경북대학교 대학원 의학박사","경북대학교병원 내과 수련 미국 의사 면허 취득
미국 Medical University of South Carolina 소화기내과 연수
대구가톨릭대학교 의과대학 교수
대구가톨릭대학교병원 내과 과장 역임","대한내과학회정회원
대한소화기학회정회원
대한소화기내시경학회정회원 및 현 편집이사
대한소화기내시경학회 초음파내시경연구회 위원장 역임
대한장연구학회정회원,부회장 역임
대한췌담도연구회정회원","","","","","","","","","","","","","","","","","",""
"소화기내과","권중구","권중구 교수 소화기내과 (1).jpg","교수","위식도역류질환, 기능성위장관질환, 위장관운동질환, 소장질환, 위장관 치료내시경","1985. 3~1991. 2경북대학교 의과대학	학사
1992. 3~1994. 2경북대학교 대학원 의학과	석사
2001. 3~2004. 2경북대학교 대학원 의학과	박사","2000. 3 ~ 현재대구가톨릭대학교병원 내과	교수
2017. 1 ~ 2019. 2대구가톨릭대학교병원 	교육수련실장","2013. 4~2017. 3대한소화기기능성질환운동학회	학술이사
2019. 4~2020. 10현재	대한소화기기능성질환운동학회	총무이사","","2005. 8 ~2007. 2University of Nevada at Reno Department of Physiology and Cell Biology	미국","","","","","","","","","","","","","","","",""
"소화기내과","한지민","한지민 교수 소화기내과 (1).jpg","교수","췌장담도질환, 치료내시경, 소화기종양","부산대학교 학사, 울산대학교 석사 및 박사","서울아산병원 내과 수련
서울아산병원 소화기내과 분과전문의수련
University of California Irvine Medical Center 연수
대구가톨릭대학교 의과대학 조교수 및 부교수 역임
현) 대구가톨릭대학교 의과대학 교수","대한내과학회 정회원
대한소화기학회 정회원
대한소화기내시경학회 정회원
대한췌담도학회 정회원","","","","","","","","","","","","","","","","","",""
"소화기내과","김병석","김병석 교수 소화기내과 (1).jpg","교수","간질환 (지방간, 간염, 간경변증, 간암)","동국대학교 의과대학 학사
영남대학교 의과대학 석사
영남대학교 의과대학 박사","대구가톨릭대학교병원 소화기내과 임상강사
대구가톨릭대학교 의과대학 전임강사
대구가톨릭대학교 의과대학 조교수
대구가톨릭대학교 의과대학 부교수
대구가톨릭대학교 의과대학 교수","대한간학회 학술위원 대한간학회 교육위원
대한간학회 간경변증 진료 가이드라인 개정위원
대한임상초음파학회 학술위원
대한간학회 대구경북지회 총무이사
대한내과학회 정회원
대한소화기학회 정회원
대한간학회 정회원
대한소화기내시경학회 정회원
아시아태평양간학회 정회원","","","","","","","","","","","","","","","","","",""
"소화기내과","송정은","송정은 교수 소화기내과 (4).jpg","교수","간질환 (간염, 간경변증, 간암)","대구가톨릭대학교 의과대학 졸업
대구가톨릭대학교 의과대학원 석사","대구가톨릭대학교병원 내과 수련
대구가톨릭대학교병원 소화기내과 전임의 수련
연세대학교 세브란스병원 소화기내과 전임의 수련
현, 대구가톨릭대학교병원 소화기내과 조교수","대한간학회 정회원, 교육위원회 위원
대한간학회 대구경북지회 학술이사
대한내과학회 정회원
대한소화기내시경학회 정회원
대한간암학회 정회원, 기획위원회 위원
대한소화기학회 정회원","2020. 대한내과학회우수논문상
2020. The Liver WeekBest Presentation Award","","","","","","","","","","","","","","","","",""
"소화기내과","조형호","조형호 소화기내과.jpg","교수","위장관질환, 치료내시경","2006. 3 ~ 2012. 2고신대학교 의과대학	학사
2016. 3 ~ 2021. 2대구가톨릭대학교 대학원 의학과	석사","2012. 3 ~ 2013. 2고신대학교복음병원 수련의
2013. 3 ~ 2017. 2대구가톨릭대학교병원 내과 전공의
2017. 3 ~ 2020. 4대한민국 육군 군의관
2020. 5 ~ 2021. 2대구가톨릭대학교병원 소화기내과 전임의
2021. 3 ~ 2022. 2분당서울대학교병원 소화기내과 전임의
2022. 3 ~ 현재대구가톨릭대학교병원 소화기내과 조교수","대한내과학회 정회원
대한소화기내시경학회 정회원
대한소화기기능성질환 · 운동학회 정회원","2020. 9Distinguished Poster Award, IDEN2020
2021. 11Young Investingator Award, KDDW2021
2022. 3Best Abstract Award, HUG2022","","","","","","","","","","","","","","","","",""
"소화기내과","정한택","정한택 전임의 소화기내과.jpg","교수","췌장담도질환, 치료내시경, 소화기종양, 초음파내시경","2007년 3월~2013년 2월대구가톨릭대학교 학사
2016년 9월~2021년 8월대구가톨릭대학교 석사","2013년 3월~2014년 2월대구가톨릭대학교병원 인턴
2014년 3월~2018년 2월대구가톨릭대학교병원 내과 전공의
2021년 5월~2022년 2월대구가톨릭대학교병원 소화기내과 전임의","2018년~대한내과학회 정회원
2022년~대한소화기내시경학회 정회원","","","","","","","","","","","","","","","","","",""
"소화기내과","윤재흠","","전임의","위장관 질환, 치료 내시경","2006년 3월~2014년 2월 영남대학교 학사","2014년 3월~2015년 2월 대구가톨릭대학교병원 수련의
2015년 3월~2019년 2월 대구가톨릭대학교병원 내과 전공의
2019년 3월~2022년 4월 대한민국 육군 군의관
2022년 3월~현재 대구가톨릭대학교병원 소화기내과 전임의","대한내과학회 정회원","","","","","","","","","","","","","","","","","",""
"소화기내과","임광효","임광효_2.jpg","전임의","소화기내과","2013년 3월~2019년 2월대구가톨릭대학교 의학사","2019년 3월~2020년 2월대구가톨릭대학교병원 인턴
2020년 3월~2023년 2월대구가톨릭대학교병원 전공의","","","","","","","","","","","","","","","","","","",""
"","이강호","","전임의","위장관질환, 일반소화기","2009년 3월~2015년 2월 대구가톨릭대학교 의과대학 학사","2015년 3월~2016년 2월 대구가톨릭대학교병원 인턴
2016년 3월~2020년 2월
2020년 4월~2023년 3월 영양병원 공중보건의","","","","","","","","","","","","","","","","","","",""
"","이재진","","전임의","","","","","","","","","","","","","","","","","","","","","",""
"","이주석","","전임의","","","","","","","","","","","","","","","","","","","","","",""
"순환기내과","최지용","최지용 교수 순환기내과  (1).jpg","교수","허혈성심질환, 심부전, 고혈압","경북대학교 의과대학 학사
경북대학교 의과대학원 석사
경북대학교 의과대학원 박사","대구가톨릭대학교병원 내과 전공의
경북대학교병원 순환기내과 전임의
대구가톨릭대학교 의과대학 교수(임상과장)","대한심장학회 정회원
대한고혈압학회 정회원
중재시술연구회 정회원
심부전연구회 정회원
대한지질동맥경화학회 정회원","","","","","","","","","","","","","","","","","",""
"순환기내과","류재근","류재근 교수 순환기내과  (1).jpg","교수","허혈성심질환, 심부전, 고혈압","2000.03 - 2002.08경북대학교 대학원 의과학	박사
1994.03 - 1996.02경북대학교 대학원 의과학	석사
1983.03 - 1989.02경북대학교 의과대학	학사","2000.03 ~ 현재대구가톨릭대학교병원 순환기내과	교수
1998.03 - 2000.02대구가톨릭대학교병원 순환기내과	임상강사
1997.03 - 1998.02경북대학교병원 순환기내과	전임의
1993.05 - 1997.02경북대학교병원 내과	전공의
1989.03 - 1990.02경북대학교병원	인턴","대한내과학회
대한심장학회
한국심초음파학회
한국심혈관중재학회","","2004. 03. 01 ~ 2005. 02. 28듀크대학교 의과대학 심혈관연구소	미국","","","","","","","","","","","","","","","",""
"순환기내과","이진배","이진배 교수 순환기내과 (1).jpg","교수","심근경색증, 협심증, 심혈관계 중재시술, 고혈압, 심부전","1992 ~ 1998대구가톨릭대학교 의과대학 학사
2004 ~ 2006경북대학교 대학원 의학과 석사
2006 ~ 2009경북대학교 대학원 의학과 박사","1999.3 ~ 2003.2대구가톨릭대학교병원 내과 전공의
2003.3 ~ 2004.2대구가톨릭대학교병원 순환기내과 전임의
2004.3 ~ 2007.2대구가톨릭대학교병원 순환기내과 전임강사
2007.3 ~ 2012.2대구가톨릭대학교병원 순환기내과 조교수
2012.3 ~ 2018.2대구가톨릭대학교병원 순환기내과 부교수
2018.3 ~ 현재대구가톨릭대학교병원 순환기내과 교수","2018 ~ 현재중재의료기기학회 간행이사
2019 ~ 2020대한심장학회 교육수련위원
2020 ~ 현재심혈관중재학회 보험위원
2020 ~ 현재심혈관중재학회 인증제관리위원
2019 ~ 현재식약처 의료기기위원","2019.2경상북도지사표창 경상북도 세계화 기여","2009.7 ~ 2010.6심혈관연구재단 및 콜롬비아대학병원 미국","","","","","","","","","","","","","","","",""
"순환기내과","이영수","이영수 교수 순환기내과  (1).jpg","교수","부정맥, 동맥경화증","1991.3~1997.2계명대학교 의과대학	학사
2002.3~2004.2계명대학교 대학원 의학과	석사
2005.3~2006.2계명대학교 대학원 의학과	박사","2003.3~2006.2계명대학교 내과	전공의
2006.3~2007.2대구가톨릭대학교병원 순환기내과	임상강사
2007.3~2011.2대구가톨릭대학교병원 순환기내과	조교수
2011.3~2016.2대구가톨릭대학교병원 순환기내과	부교수
2016.3~ present대구가톨릭대학교병원 순환기내과	교수","대한내과학회
대한심장학회
대한부정맥학회	학술위원, 교육위원
대한고혈압학회","2019.1피인용지수 우수상","2010.8~2011.12Krannert Institute of Cardiology	USA","","","","","","","","","","","","","","","",""
"순환기내과","홍승표","030045.jpg","교수","고혈압, 협심증, 심부전","1997. 3. ~ 2003. 2. 대구가톨릭대학교 의과대학 학사
2011. 3. ~ 2013. 2. 계명대학교 대학원 의학과 석사","2004. 3. ~ 2008. 2. 대구가톨릭대학교병원 내과 전공의
2011. 5. ~ 2013. 2. 대구가톨릭대학교병원 순환기내과 임상강사
현재 대구가톨릭대학교병원 순환기내과 임상부교수","","","","","","","","","","","","","","","","","","",""
"순환기내과","김창연","김창연 교수 순환기내과 (1).jpg","교수","고혈압, 심부전, 협심증","경북대학교 의학전문대학원 의무석사","경북대학교병원 내과 전공의
경북대학교병원 순환기내과 전임의
대구가톨릭대학교병원 순환기내과 임상교수
대구가톨릭대학교병원 순환기내과 조교수","대한내과학회 회원
대한심장학회 회원
한국심초음파학회 회원","","","","","","","","","","","","","","","","","",""
"순환기내과","정해원","순환기내과 정해원 교수(웹)_1.jpg","교수","고혈압, 협심증, 심부전","인제대학교 의과 대학 학사
인제대학교 의학 대학원 석사","일산 백병원 내과 전공의
일산 백병원 순환기내과 전임의
세브란스 병원 순환기 내과 전임의
대구가톨릭대학교병원 순환기내과 임상교수","대한내과학회 정회원
대한심장학회 정회원
한국 심초음파학회 정회원","","","","","","","","","","","","","","","","","",""
"순환기내과","배한준","배한준 교수 순환기내과 (1).jpg","교수","고혈압, 심부전, 협심증, 부정맥","계명의대 졸업
계명대학교 대학원 의학 석사
계명대학교 대학원 의학 박사 재학중","계명대학교 동산의료원 내과 전공의
계명대학교 동산의료원 내과 전임의
세브란스 병원 순환기 내과 임상연구 조교수
대구가톨릭대학교병원 순환기내과 조교수","대한심장학회 정회원
대한내과학회 정회원
한국심초음파학회 정회원
대한부정맥학회 정회원","","","","","","","","","","","","","","","","","",""
"순환기내과","라모니","라모니 전임의 순환기내과.jpg","전담의","고혈압, 협심증, 심부전","","","","","","","","","","","","","","","","","","","","",""
"신경과","김지언","김지언 교수 신경과 (1).jpg","교수","뇌전증, 의식소실, 수면장애, 일반신경질환","1982.03~1988.02경북대학교 의과대학	학사
1992.03~1995.02경북대학교 대학원	석사
1996.03~2000.02경북대학교 대학원	박사","1988.03~1989.02경북대학교병원	수련의
1989.02~1992.04대한민국 육군	군의관
1992.05~1996.02경북대학교병원 신경과	전공의
1996.03~2000.02계명대학교 동산의료원 신경과	전임의, 전임강사
2000.03~현재대구가톨릭대학교병원 신경과	조교수, 부교수, 교수
2009.09~2010.12대구가톨릭대학교 의과대학	의학과장
2011.01~2012.12대구가톨릭대학교 의과대학	대외협력부학장
2013.03~현재대구가톨릭대학교 의과대학	주임교수
2015.02~2016.12대구가톨릭대학교의료원	대외협력부장
2017.01~2019.01대구가톨릭대학교 의과대학	교무부학장","1996.02~현재대한신경과학회 정회원, 평의원
1997.03~현재대한뇌전증학회 정회원, 상임운영위원
2002.03~현재대한수면연구학회	정회원, 회장역임","2006. 09 ~ 2007. 08University of Minnesota USA","","","","","","","","","","","","","","","","",""
"신경과","도진국","도진국 교수 신경과 (1).jpg","교수","뇌졸중, 두통","경북대학교 의과대학 졸업
경북대학교 의과대학 박사과정 수료
미국 Wake Forest University Hospital 뇌졸중센터 및 신경초음파 연수","대구가톨릭대학병원 신경과 수련
대구가톨릭대학교 의과대학 임상강사, 전임강사, 조교수, 부교수, 교수
대구가톨릭대학교병원 신경과 과장 역임
대구가톨릭대학교병원 적정진료관리실장
대구가톨릭대학교 의과대학 신경과학교실 주임교수
대구가톨릭대학교병원 뇌졸중집중치료실 실장
대구가톨릭대학교병원 뇌졸중센터 부센터장","대한신경과학회 회원
대한뇌졸중학회 회원
대한신경초음파학회 회원
대한두통학회 평생회원
대한평형의학회 평생회원
대한신경과학회 영호남지회 재무이사
대한뇌졸중학회 대구경북지회 총무이사
대한노인신경의학회 특임이사&nbsp;","","","","","","","","","","","","","","","","","",""
"신경과","권오대","권오대 교수 신경과 (1)_1.jpg","교수","파킨슨병, 알츠하이머 치매, 혈관성 치매, 언어장애,  떨림, 사경, 보톡스치료","경북의대졸업
신경과 전문의
의학박사, 영문학석사
위스콘신주립대병원 연수
삼성서울 병원 기억력 장애 클리닉 연수
텍사스 메디컬센터 배일러의대 치매센터(ADMDC of BCM) 연수
서울아산병원 파킨슨센터 연수","동산의료원 신경과 전문의 수련
육군 수색대대 의무장교
울산동강병원 신경과장
통합의료진흥원 치매연구위원
대구가톨릭대학교병원 의료기기 IRB 전문간사
대구가톨릭대학교병원 생명의학연구윤리심의위원회 위원장
대구경북 지필고사 컨소시엄 위원장
대구가톨릭대학교 의과대학 임상수기센터장
대구가톨릭대학교 의과대학 교수 (현)
대구가톨릭대학교 의과대학 Neuroscience 1 책임교수 (현)
식품의약품안전청 중앙약사심의위원회 전문위원 (현)
파킨슨병 및 퇴행성뇌질환학회 회장 (현)
대구가톨릭대학교병원 신경과 과장 (현)","대한 치매학회 대구경북지회장
대한 치매학회 평의원, 논문심사위원
대한 퇴행성신경질환학회 평의원
대한 파킨슨병 및 운동질환 학회 정회원
대한 신경과 학회 정회원/평의원
Movement Disorder Society 정회원
Vas-Cog 정회원
ISTAART 정회원
대한치매학회 대구경북지회 부회장
European Neurology 논문심사위원
Dementia & Cognitive Disorders 논문심사위원
MDBS(Movement Disorders & Degenerative Brain Diseases Society) 회장","","","","","","","","","","","","","","","","","",""
"신경과","석정임","석정임 교수 신경과 (1).jpg","교수","말초신경질환, 근육질환, 말초신경초음파","1994.03.01~2000.02.28대구가톨릭대학교 의과대학	학사
2003.03.01~2005.02.28성균관대학 대학원 의학과	석사","2000.03.01~2001.02.28삼성서울병원	인턴
2001.03.01~2005.02.28삼성서울병원 신경과	전공의
2005.03.01~2006.02.28아주대학교병원 신경과	신경근육질환 전임의
2006.03.01~현재대구가톨릭대학교병원 신경과	교수","2005.03.01~대한신경과학회	정회원
2019.03.01~대한임상신경생리학회	교육이사/편집위원
2017.03.01~대한근전도전기진단학회	편집위원
2019.03.01~대한신경초음파학회	편집위원","","2012.03.01~2013.02.28Wake Forest University Hospital, neuromusclular ultrasound	USA","","","","","","","","","","","","","","","",""
"신경과","도영록","도영록 교수 신경과 (1).jpg","교수","뇌졸중, 신경집중치료","대구가톨릭대학교 의과대학 학사
대구가톨릭대학교 의과대학원 석사,박사","대구가톨릭대학교 의과대학 부교수
대구가톨릭대학교 의과대학 조교수
서울아산병원 신경과 전임의
대구가톨릭대학교병원 신경과 전임의
대구가톨릭대학교병원 신경과 전공의","대한신경과학회 수련위원, (전)교육위원
대한신경초음파학회 이사
대한신경집중치료학회 이사, 교육위원
대한뇌졸중학회 대구경북지회 이사
대한임상신경생리학회 (전)교육위원
대한신경과학회 대구경북지회 (전)이사","","미국 텍사스 메디컬센터 신경집중치료 연수 2016-17
(Department of Neurocritical care, Memorial Hermann hospital, University of Texas, Houston)","","","","","","","","","","","","","","","",""
"신경과","박재한","박재한 교수 신경과 (1).jpg","교수","어지럼,복시","대구가톨릭대학교 학사, 대구가톨릭대학교 대학원 석사","대구가톨릭대학교 전임의
분당서울대학교병원 전임의 역임
순천향대학교 구미병원 조교수 역임","대한 신경과학회 정회원
대한 평형의학학회 정회원
대한 안신경학회 정회원
대한안신경학회 수련담당 이사","","","","","","","","","","","","","","","","","",""
"신경과","박정아","박정아 교수 신경과 (1).jpg","교수","뇌전증, 수면장애, 일반신경질환","대구가톨릭대학교의과대학	학사
대구가톨릭대학교 대학원 의학과 석사 (신경과학)","2013.3~2014.2대구가톨릭대학교병원	인턴
2014.3~2018.2대구가톨릭대학교병원 신경과	전공의
2018.3~2019.2분당서울대학교병원 신경과	임상강사
2019.3~2020.2대구가톨릭대학교병원 신경과	임상강사
2020.3~2021.2대구가톨릭대학교병원 신경과	임상조교수
2021.3~현재대구가톨릭대학교병원 신경과 조교수","2018.3 ~ 현재대한신경과학회	정회원
2018.3 ~ 현재대한뇌전증학회	정회원
2018.3 ~ 현재대한수면연구학회	정회원","2018.6대한수면연구학회 학술대회 우수포스터상","","","","","","","","","","","","","","","","",""
"신경외과","최기환","최기환 교수 신경외과 (1).jpg","교수","척추질환 , 말초신경질환","충남대학교 의과대학 및 영남대학교 대학원 졸업
의학박사
캐나다 Toronto대학 신경외과학 교실 연수","대구가톨릭대학교병원 신경외과 레지던트
대구가톨릭대학교병원 신경외과장
대구가톨릭대학교 의과대학 주임교수","대한신경외과학회
대한척추신경외과학회
대한노인신경외과학회
대한소아신경외과학회","","","","","","","","","","","","","","","","","",""
