"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"내분비대사내과","이지현","이지현 교수 내분비대사내과 (2).jpg","교수","내분비대사학 (당뇨병, 갑상선)","영남대학교 의과대학 졸업
의학박사","대구가톨릭대학교병원 내과 수련
대구가톨릭의대 교수","대한내과학회 정회원
대한내분비학회 정회원
대한당뇨병학회 정회원","","","","","","","","","","","","","","","","","",""
"내분비댓내과","전언주","050031.jpg","교수","내분비대사학 (당뇨병, 갑상선, 내분비 질환)","대구가톨릭대 의학과 학사
대구가톨릭대 의학과 석사
경북대학교 의학과 박사수료","대구가톨릭대학교병원 내과 전공의
경북대학교병원 내분비대사내과 임상강사
대구가톨릭대학교 내분비대사내과 임상전담
내분비대사내과 분과전문의
현 대구가톨릭대학교 내분비대사내과 부교수","","","미국 하버드 의대 부속 Brigham and Women's Hospital 연수","","","","","","","","","","","","","","","",""
"내분비대사내과","김성우","내분비대사내과 김성우 교수님.jpg","교수","내분비대사학 (갑상선, 당뇨병, 골다공증)","영남대학교 의과대학 학사
경북대학교 대학원 의학과 석사","대구가톨릭대학교병원 전공의
경북대학교병원 전임의
구미차병원 조교수
(현)내분비대사내과 분과전문의
(현)갑상선초음파 지도 인증의
(현)대구가톨릭대학교병원 내분비대사내과 조교수","대한갑상선학회 회원
대한내분비학회 회원
대한당뇨병학회 회원
대한골다공증학회 회원","","","","","","","","","","","","","","","","","",""
"내분비대사내과","권소윤","권소윤 교수.jpg","교수","내분비대사학 (당뇨병, 갑상선, 내분비 질환)","2012 ~ 2017대구가톨릭대학교 의과대학 학사","2018 ~ 2021삼성서울병원 내과 전공의
2021 ~ 2023삼성서울병원 임상강사
2023 ~ 현재대구가톨릭대학교 임상교수","2021 ~대한당뇨병학회 회원
2021 ~대한갑상선학회 회원
2021 ~대한내분비학회 회원
2021 ~대한골다공증학회 회원","2022.5.13대한당뇨병학회 춘계학술대회 우수 메타버스 포스터 구연","","","","","","","","","","","","","","","","",""
"대장항문외과","양춘석","양춘석 교수 대창항문외과 (1).jpg","교수","대장암, 직장암, 양성대장항문질환, 대장내시경, 복강경수술, 로봇수술","1998.3 - 2004.2	대구가톨릭대학교 의과대학 	학사
2005.3 - 2007.2 	대구가톨릭대학교 대학원 의학과	석사","2004. 3 ~ 2005. 2 	대구가톨릭대학교병원 	인턴의
2005. 3 ~ 2009. 2 	대구가톨릭대학교병원 외과 	전공의
2012. 5 ~ 2014. 4 	대구가톨릭대학교병원 대장항문외과 	임상강사
2014. 5 ~ 2015. 4 	칠곡경북대학교병원 대장항문외과 	임상조교수
2015. 5 ~ 2016. 8	대구가톨릭대학교병원 대장항문외과 	임상조교수
2016. 9 ~ 현재 대구가톨릭대학교병원 대장항문외과 	조교수","2009. 3 ~ 현재	대한외과학회	평생회원
2013. 3 ~ 현재	대한대장항문학회	정회원
2014. 9 ~ 현재	대한내시경 복강경외과학회	정회원
2017. 8 ~ 현재	대장항문외과 세부전문의
2017. 8 ~ 현재	대장내시경 세부전문의","","","","","","","","","","","","","","","","","",""
"대장항문외과","신선희","신선희 교수 외과 (1).jpg","교수","대장암, 직장암, 양성대장항문질환, 대장내시경, 복강경수술, 로봇수술","2008. 3. ~ 2014. 2.대구가톨릭대학교 의과대학 학사
2016. 3. ~ 2018. 2.대구가톨릭대학교 대학원 의학과 석사","2014. 3. ~ 2015. 2.대구가톨릭대학교병원 수련의
2015. 3. ~ 2019. 2.대구가톨릭대학교병원 외과 전공의
2019. 3. ~ 2021. 2.대구가톨릭대학교병원 대장항문외과 전임의
2021. 3. ~ 2022. 2.고려대학교 안암병원 대장항문외과 전임의
2022. 3. ~ 현재대구가톨릭대학교병원 대장항문외과 임상조교수","2015. 3. ~ 현재대한외과학회 평생회원
2019. 3. ~ 현재대한대장항문학회 평생회원
2019. 3. ~ 현재대한내시경복강경외과학회 평생회원","","","","","","","","","","","","","","","","","",""
"대장항문외과","유성호","유성호_2.jpg","전임의","대장항문외과","2013년 3월~2019년 2월대구가톨릭대학교 학사","2019년 3월~2020년 2월대구가톨릭대학교병원 인턴
2020년 3월~2023년 2월대구가톨릭대학교병원 전공의","2020년 3월~대한외과학회 평생회원","","","","","","","","","","","","","","","","","",""
"류마티스내과","최정윤","최정윤 교수 류마티스내과 (1).jpg","교수","난치성 류마티스 관절염, 초기관절염, 루푸스, 쇼그렌증후군, 통풍, 강직성 척추염","1979. 3. ~ 1985. 2.경북대학교 의과대학 학사
1986. 3. ~ 1988. 2.경북대학교 대학원 의학과 석사
1988. 3. ~ 1994. 2.계명대학교 대학원 의학과 박사","1986. 3. ~ 1989. 2.경북대학교병원 내과 전공의
1992. 5. ~ 1994. 2.순천향대학교 구미병원 내과장
2003. 3. ~ 2005. 2.대구가톨릭대학교병원 정보실장
2003. 3. ~ 2015. 2.대구가톨릭대학교병원 류마티스내과 분과장
2003. 7. ~ 2006. 2.대구가톨릭대학교병원 DCRC 팀장
2007. 3. ~ 2009. 2.대구가톨릭대학교병원 교육수련부장
2007. 3. ~ 2011. 2.대구가톨릭대학교병원 내과장
2009. 3. ~ 2010. 12.대구가톨릭대학교 의과대학 교육부학장
2011. 3. ~ 2012. 12.대구가톨릭대학교병원 홍보실장
2015. 1. ~ 2016. 12.대구가톨릭대학교 의과학연구소장
2017. 1. ~ 2019. 1.대구가톨릭대학교 의과대학장
2019. 2. ~ 2020. 12.대구가톨릭대학교병원장
1994. 3. ~ 현재대구가톨릭대학교병원 류마티스내과 교수
2009. 9. ~ 현재대구가톨릭대학교병원 관절염연구소장
2014. 2. ~ 현재대구·경북권역 류마티스 및 퇴행성관절염 전문질환센터장(보건복지부 주관)","(현재)대한류마티스학회 자문위원 대한민국의학한림원 정회원
대한내과학회 평의원 동아시아 류마티스학회(EAGOR) coordinator
대한류마티스학회 이사장(2016.5-2018.5)
사단법인 류마티스학연구재단 이사장(2016.8-2018.8)
대한류마티스학회 홍보이사, 무임소이사, 기획이사 역임
대한내과학회 류마티스분과 수련위원장, 류마티스분과 부위원장 역임
한일 류마티스학회(KJMR) coordinator 역임
아시아태평양 류마티스학회(APLAR) 조직위원 역임
제 12회 국제수지상세포학회(DC2012) 재정위원장 역임","대한내과학회 우수논문상
대한류마티스학회 학술상
대구시 의사회 학술상
Best Abstract Awards(아시아태평양 류마티스학회, 인도네시아 발리)","2002년미국 캘리포니아주립 샌디에고대","","","","","","","","","","","","","","","",""
"류마티스내과","김성규","김성규 교수 류마티스내과 (1).jpg","교수","류마티스관절염, 전신홍반루푸스, 강직성척추염, 통풍, 쇼그렌 증후군, 혈관염, 경피증","1991 ~ 1997	경북대학교 의과대학	학사
1998 ~ 2001	경북대학교 대학원 의학과	석사
2003 ~ 2005	한양대학교 대학원 의학과	박사","2003 ~ 2004한양대학교병원	전임의
2004 ~ 2005한양대학교병원 류마티스내과	임상강사
2005 ~ 2007단국대학교병원 류마티스내과	조교수
2007 ~ 현재대구가톨릭대학교병원 류마티스내과	교수
2017 ~ 2019대구가톨릭대학교 의과대학	의과학연구소장
2017 ~ 2019대구가톨릭대학교 의과대학	연구부학장
2019 ~ 2021대구가톨릭대학교병원	임상시험센터장","2018 ~ 현재대한류마티스학회	이사
2019 ~ 현재대한류마티스학회	간행위원
2020 ~ 현재대한류마티스학회	학술위원
2018 ~ 현재International Journal of Rheumatic Diseases Associate Editor
2021 ~ 현재Annals of Medicine Associate Editor for Rheumatology
2022 ~ 현재대한류마티스학회 간행이사","2008제52회 일본류마티스학회(JCR) 국제심포지엄 국제장학상
2008아시아태평양류마티스학회(APLAR) 젊은의학자상
2013대한류마티스학회 제1회 젊은연구자상
2014제32회 세계내과학회(WCIM) best poster award","2010 ~ 2011University of California San Diego	미국","","","","","","","","","","","","","","","",""
"류마티스내과","박성훈","박성훈 교수 류마티스내과 (1).jpg","교수","류마티스관절염, 전신 홍반성 루푸스, 강직성 척추염, 베체트병, 쇼그렌병, 혈관염, 근염, 자가면역질환","대구가톨릭대학교 의과대학	학사
대구가톨릭대학교 대학원 의학과	석사
경북대학교 대학원 의학과	박사","대구가톨릭대학교병원 류마티스내과	교수","(전) 대한내과학회 대구경북지회	수련이사
(전) 대한류마티스학회	간행위원
(전) Medi CT center	학술위원장
대한류마티스학회	정보위원
대한류마티스학회 루푸스연구회	총무
대구광역시 의사회 	이사","2008 JCR international Scholarship award","NYU Hospital for joint diseases	USA","","","","","","","","","","","","","","","",""
